spell_id	final_upstream_binding	actual_binding	result
17	spell_priest_power_word_shield	spell_priest_power_word_shield	verified
324	spell_shaman_lightning_shield	spell_shaman_lightning_shield	verified
325	spell_shaman_lightning_shield	spell_shaman_lightning_shield	verified
498	spell_paladin_invulnerability_forbearance	spell_paladin_invulnerability_forbearance	verified
592	spell_priest_power_word_shield	spell_priest_power_word_shield	verified
600	spell_priest_power_word_shield	spell_priest_power_word_shield	verified
603	spell_warlock_curse_of_doom	spell_warlock_curse_of_doom	verified
604	spell_mage_amplify_dampen_magic	spell_mage_amplify_dampen_magic	verified
642	spell_paladin_invulnerability_forbearance	spell_paladin_invulnerability_forbearance	verified
678	spell_paladin_holy_strike	spell_paladin_holy_strike	verified
679	spell_paladin_holy_strike	spell_paladin_holy_strike	verified
680	spell_paladin_holy_strike	spell_paladin_holy_strike	verified
689	spell_warlock_drain_life	spell_warlock_drain_life	verified
698	spell_warlock_ritual_of_summoning	spell_warlock_ritual_of_summoning	verified
699	spell_warlock_drain_life	spell_warlock_drain_life	verified
702	spell_warlock_malediction_curse	spell_warlock_malediction_curse	verified
704	spell_warlock_malediction_curse	spell_warlock_malediction_curse	verified
709	spell_warlock_drain_life	spell_warlock_drain_life	verified
724	spell_priest_lightwell	spell_priest_lightwell	verified
746	spell_item_first_aid	spell_item_first_aid	verified
755	spell_warlock_funnels	spell_warlock_funnels	verified
774	spell_druid_efflorescence	spell_druid_efflorescence	verified
802	spell_emperor_mutate_bug	spell_emperor_mutate_bug	verified
804	spell_emperor_explode_bug	spell_emperor_explode_bug	verified
905	spell_shaman_lightning_shield	spell_shaman_lightning_shield	verified
945	spell_shaman_lightning_shield	spell_shaman_lightning_shield	verified
980	spell_warlock_curse_of_agony	spell_warlock_curse_of_agony	verified
1002	spell_hunter_eyes_of_the_beast	spell_hunter_eyes_of_the_beast	verified
1008	spell_mage_amplify_dampen_magic	spell_mage_amplify_dampen_magic	verified
1010	spell_warlock_curse_of_idiocy	spell_warlock_curse_of_idiocy	verified
1014	spell_warlock_curse_of_agony	spell_warlock_curse_of_agony	verified
1020	spell_paladin_invulnerability_forbearance	spell_paladin_invulnerability_forbearance	verified
1022	spell_paladin_invulnerability_forbearance	spell_paladin_invulnerability_forbearance	verified
1058	spell_druid_efflorescence	spell_druid_efflorescence	verified
1079	spell_druid_rip	spell_druid_rip	verified
1082	spell_druid_open_wounds	spell_druid_open_wounds	verified
1098	spell_warlock_enslave_demon	spell_warlock_enslave_demon	verified
1108	spell_warlock_malediction_curse	spell_warlock_malediction_curse	verified
1120	spell_warlock_drain_soul	spell_warlock_drain_soul	verified
1122	spell_warlock_inferno	spell_warlock_inferno	verified
1159	spell_item_first_aid	spell_item_first_aid	verified
1430	spell_druid_efflorescence	spell_druid_efflorescence	verified
1454	spell_warlock_life_tap	spell_warlock_life_tap	verified
1455	spell_warlock_life_tap	spell_warlock_life_tap	verified
1456	spell_warlock_life_tap	spell_warlock_life_tap	verified
1490	spell_warlock_malediction_curse	spell_warlock_malediction_curse	verified
1495	spell_hunter_mongoose_bite	spell_hunter_mongoose_bite	verified
1499	spell_hunter_trap	spell_hunter_trap	verified
1510	spell_hunter_volley	spell_hunter_volley	verified
1714	spell_warlock_malediction_curse	spell_warlock_malediction_curse	verified
1856	spell_rogue_vanish	spell_rogue_vanish	verified
1857	spell_rogue_vanish	spell_rogue_vanish	verified
1866	spell_paladin_holy_strike	spell_paladin_holy_strike	verified
1941	spell_warlock_funnels	spell_warlock_funnels	verified
1943	spell_rogue_rupture	spell_rogue_rupture	verified
1949	spell_warlock_hellfire	spell_warlock_hellfire	verified
2070	spell_rogue_blackjack	spell_rogue_blackjack	verified
2090	spell_druid_efflorescence	spell_druid_efflorescence	verified
2091	spell_druid_efflorescence	spell_druid_efflorescence	verified
2094	spell_rogue_blackjack	spell_rogue_blackjack	verified
2098	spell_rogue_eviscerate	spell_rogue_eviscerate	verified
2495	spell_paladin_holy_strike	spell_paladin_holy_strike	verified
2537	spell_paladin_crusader_strike	spell_paladin_crusader_strike	verified
2651	spell_priest_elunes_grace	spell_priest_elunes_grace	verified
2687	spell_warrior_bloodrage	spell_warrior_bloodrage	verified
2912	spell_druid_starfire	spell_druid_starfire	verified
2947	spell_warlock_fire_shield	spell_warlock_fire_shield	verified
3029	spell_druid_open_wounds	spell_druid_open_wounds	verified
3267	spell_item_first_aid	spell_item_first_aid	verified
3268	spell_item_first_aid	spell_item_first_aid	verified
3627	spell_druid_efflorescence	spell_druid_efflorescence	verified
3698	spell_warlock_funnels	spell_warlock_funnels	verified
3699	spell_warlock_funnels	spell_warlock_funnels	verified
3700	spell_warlock_funnels	spell_warlock_funnels	verified
3747	spell_priest_power_word_shield	spell_priest_power_word_shield	verified
4060	spell_discombobulate	spell_discombobulate	verified
4071	spell_target_dummy	spell_target_dummy	verified
4072	spell_target_dummy	spell_target_dummy	verified
5143	spell_mage_arcane_missiles	spell_mage_arcane_missiles	verified
5144	spell_mage_arcane_missiles	spell_mage_arcane_missiles	verified
5145	spell_mage_arcane_missiles	spell_mage_arcane_missiles	verified
5176	spell_druid_wrath		unimplemented spell_druid_wrath
5177	spell_druid_wrath		unimplemented spell_druid_wrath
5178	spell_druid_wrath		unimplemented spell_druid_wrath
5179	spell_druid_wrath		unimplemented spell_druid_wrath
5180	spell_druid_wrath		unimplemented spell_druid_wrath
5185	spell_druid_healing_touch	spell_druid_healing_touch	verified
5186	spell_druid_healing_touch	spell_druid_healing_touch	verified
5187	spell_druid_healing_touch	spell_druid_healing_touch	verified
5188	spell_druid_healing_touch	spell_druid_healing_touch	verified
5189	spell_druid_healing_touch	spell_druid_healing_touch	verified
5201	spell_druid_open_wounds	spell_druid_open_wounds	verified
5229	spell_druid_enrage	spell_druid_enrage	verified
5246	spell_warrior_intimidating_shout	spell_warrior_intimidating_shout	verified
5308	spell_warrior_execute	spell_warrior_execute	verified
5569	spell_paladin_holy_strike	spell_paladin_holy_strike	verified
5573	spell_paladin_invulnerability_forbearance	spell_paladin_invulnerability_forbearance	verified
5599	spell_paladin_invulnerability_forbearance	spell_paladin_invulnerability_forbearance	verified
5699	spell_warlock_create_healthstone	spell_warlock_create_healthstone	verified
6065	spell_priest_power_word_shield	spell_priest_power_word_shield	verified
6066	spell_priest_power_word_shield	spell_priest_power_word_shield	verified
6201	spell_warlock_create_healthstone	spell_warlock_create_healthstone	verified
6202	spell_warlock_create_healthstone	spell_warlock_create_healthstone	verified
6205	spell_warlock_malediction_curse	spell_warlock_malediction_curse	verified
6217	spell_warlock_curse_of_agony	spell_warlock_curse_of_agony	verified
6360	spell_warlock_soothing_kiss	spell_warlock_soothing_kiss	verified
6410	spell_item_scorpid_surprise	spell_item_scorpid_surprise	verified
6572	spell_warrior_revenge	spell_warrior_revenge	verified
6574	spell_warrior_revenge	spell_warrior_revenge	verified
6760	spell_rogue_eviscerate	spell_rogue_eviscerate	verified
6761	spell_rogue_eviscerate	spell_rogue_eviscerate	verified
6762	spell_rogue_eviscerate	spell_rogue_eviscerate	verified
6770	spell_rogue_blackjack	spell_rogue_blackjack	verified
6778	spell_druid_healing_touch	spell_druid_healing_touch	verified
6780	spell_druid_wrath		unimplemented spell_druid_wrath
6789	spell_warlock_death_coil	spell_warlock_death_coil	verified
7379	spell_warrior_revenge	spell_warrior_revenge	verified
7646	spell_warlock_malediction_curse	spell_warlock_malediction_curse	verified
7651	spell_warlock_drain_life	spell_warlock_drain_life	verified
7658	spell_warlock_malediction_curse	spell_warlock_malediction_curse	verified
7659	spell_warlock_malediction_curse	spell_warlock_malediction_curse	verified
7813	spell_warlock_soothing_kiss	spell_warlock_soothing_kiss	verified
7926	spell_item_first_aid	spell_item_first_aid	verified
7927	spell_item_first_aid	spell_item_first_aid	verified
8026	spell_shaman_flametongue_proc	spell_shaman_flametongue_proc	verified
8028	spell_shaman_flametongue_proc	spell_shaman_flametongue_proc	verified
8029	spell_shaman_flametongue_proc	spell_shaman_flametongue_proc	verified
8034	spell_shaman_frostbrand_attack	spell_shaman_frostbrand_attack	verified
8037	spell_shaman_frostbrand_attack	spell_shaman_frostbrand_attack	verified
8063	spell_deviate_fish	spell_deviate_fish	verified
8072	spell_shaman_stoneskin	spell_shaman_stoneskin	verified
8134	spell_shaman_lightning_shield	spell_shaman_lightning_shield	verified
8156	spell_shaman_stoneskin	spell_shaman_stoneskin	verified
8157	spell_shaman_stoneskin	spell_shaman_stoneskin	verified
8213	spell_cooked_deviate_fish	spell_cooked_deviate_fish	verified
8248	spell_shaman_flametongue_proc	spell_shaman_flametongue_proc	verified
8253	spell_shaman_flametongue_proc	spell_shaman_flametongue_proc	verified
8288	spell_warlock_drain_soul	spell_warlock_drain_soul	verified
8289	spell_warlock_drain_soul	spell_warlock_drain_soul	verified
8316	spell_warlock_fire_shield	spell_warlock_fire_shield	verified
8317	spell_warlock_fire_shield	spell_warlock_fire_shield	verified
8342	spell_goblin_jumper_cables	spell_goblin_jumper_cables	verified
8416	spell_mage_arcane_missiles	spell_mage_arcane_missiles	verified
8417	spell_mage_arcane_missiles	spell_mage_arcane_missiles	verified
8450	spell_mage_amplify_dampen_magic_aura	spell_mage_amplify_dampen_magic_aura	verified
8451	spell_mage_amplify_dampen_magic_aura	spell_mage_amplify_dampen_magic_aura	verified
8455	spell_mage_amplify_dampen_magic_aura	spell_mage_amplify_dampen_magic_aura	verified
8623	spell_rogue_eviscerate	spell_rogue_eviscerate	verified
8624	spell_rogue_eviscerate	spell_rogue_eviscerate	verified
8639	spell_rogue_rupture	spell_rogue_rupture	verified
8640	spell_rogue_rupture	spell_rogue_rupture	verified
8823	spell_paladin_crusader_strike	spell_paladin_crusader_strike	verified
8824	spell_paladin_crusader_strike	spell_paladin_crusader_strike	verified
