spell_id	name	current_binding	expected_binding	status
17	Power Word: Shield		spell_priest_power_word_shield	missing_binding
324	Lightning Shield		spell_shaman_lightning_shield	missing_binding
325	Lightning Shield		spell_shaman_lightning_shield	missing_binding
498	Divine Protection		spell_paladin_invulnerability_forbearance	missing_binding
592	Power Word: Shield		spell_priest_power_word_shield	missing_binding
600	Power Word: Shield		spell_priest_power_word_shield	missing_binding
642	Divine Shield		spell_paladin_invulnerability_forbearance	missing_binding
678	Holy Strike		spell_paladin_holy_strike	missing_binding
679	Holy Strike		spell_paladin_holy_strike	missing_binding
680	Holy Strike		spell_paladin_holy_strike	missing_binding
698	Ritual of Summoning		spell_warlock_ritual_of_summoning	missing_binding
746	First Aid		spell_item_first_aid	missing_binding
802	Mutate Bug		spell_emperor_mutate_bug	missing_binding
804	Explode Bug		spell_emperor_explode_bug	missing_binding
905	Lightning Shield		spell_shaman_lightning_shield	missing_binding
945	Lightning Shield		spell_shaman_lightning_shield	missing_binding
1002	Eyes of the Beast		spell_hunter_eyes_of_the_beast	missing_binding
1010	Curse of Idiocy		spell_warlock_curse_of_idiocy	missing_binding
1020	Divine Shield		spell_paladin_invulnerability_forbearance	missing_binding
1022	Blessing of Protection		spell_paladin_invulnerability_forbearance	missing_binding
1082	Claw		spell_druid_open_wounds	missing_binding
1122	Inferno		spell_warlock_inferno	missing_binding
1159	First Aid		spell_item_first_aid	missing_binding
1454	Life Tap		spell_warlock_life_tap	missing_binding
1455	Life Tap		spell_warlock_life_tap	missing_binding
1456	Life Tap		spell_warlock_life_tap	missing_binding
1495	Mongoose Bite		spell_hunter_mongoose_bite	missing_binding
1856	Vanish		spell_rogue_vanish	missing_binding
1857	Vanish		spell_rogue_vanish	missing_binding
1866	Holy Strike		spell_paladin_holy_strike	missing_binding
2098	Eviscerate		spell_rogue_eviscerate	missing_binding
2495	Holy Strike		spell_paladin_holy_strike	missing_binding
2651	Elune's Grace		spell_priest_elunes_grace	missing_binding
2687	Bloodrage		spell_warrior_bloodrage	missing_binding
2947	Fire Shield		spell_warlock_fire_shield	missing_binding
3029	Claw		spell_druid_open_wounds	missing_binding
3267	First Aid		spell_item_first_aid	missing_binding
3268	First Aid		spell_item_first_aid	missing_binding
3747	Power Word: Shield		spell_priest_power_word_shield	missing_binding
4060	Discombobulate		spell_discombobulate	missing_binding
4071	Target Dummy		spell_target_dummy	missing_binding
4072	Advanced Target Dummy		spell_target_dummy	missing_binding
5143	Arcane Missiles		spell_mage_arcane_missiles	missing_binding
5144	Arcane Missiles		spell_mage_arcane_missiles	missing_binding
5145	Arcane Missiles		spell_mage_arcane_missiles	missing_binding
5201	Claw		spell_druid_open_wounds	missing_binding
5229	Enrage		spell_druid_enrage	missing_binding
5246	Intimidating Shout		spell_warrior_intimidating_shout	missing_binding
5308	Execute		spell_warrior_execute	missing_binding
5569	Holy Strike		spell_paladin_holy_strike	missing_binding
5573	Divine Protection		spell_paladin_invulnerability_forbearance	missing_binding
5599	Blessing of Protection		spell_paladin_invulnerability_forbearance	missing_binding
5699	Create Healthstone		spell_warlock_create_healthstone	missing_binding
6065	Power Word: Shield		spell_priest_power_word_shield	missing_binding
6066	Power Word: Shield		spell_priest_power_word_shield	missing_binding
6201	Create Healthstone (Minor)		spell_warlock_create_healthstone	missing_binding
6202	Create Healthstone (Lesser)		spell_warlock_create_healthstone	missing_binding
6410	Food		spell_item_scorpid_surprise	missing_binding
6760	Eviscerate		spell_rogue_eviscerate	missing_binding
6761	Eviscerate		spell_rogue_eviscerate	missing_binding
6762	Eviscerate		spell_rogue_eviscerate	missing_binding
7926	First Aid		spell_item_first_aid	missing_binding
7927	First Aid		spell_item_first_aid	missing_binding
8017	Rockbiter Weapon		spell_shaman_rockbiter_weapon	missing_binding
8018	Rockbiter Weapon		spell_shaman_rockbiter_weapon	missing_binding
8019	Rockbiter Weapon		spell_shaman_rockbiter_weapon	missing_binding
8026	Flametongue Weapon Proc		spell_shaman_flametongue_proc	missing_binding
8028	Flametongue Weapon Proc		spell_shaman_flametongue_proc	missing_binding
8029	Flametongue Weapon Proc		spell_shaman_flametongue_proc	missing_binding
8063	Deviate Fish		spell_deviate_fish	missing_binding
8134	Lightning Shield		spell_shaman_lightning_shield	missing_binding
